# DIX App - Pulse project import
# Full project trajectory: completed phases plus the path to the Monday.com
# Cancellations Return Tracking migration and Inventory Management integration.

[PROJECT]
Title,Description,Type,Priority,Status,Department,Platforms,Input Date,Due Date
DIX - Driver Integration App,"Modern Power App for driver onboarding, contract management, deductions, testing compliance, and document generation. Consolidates Monday.com's Cancellations Return Tracking board into a single tool and wires the return workflow into the Inventory Management App.",Feature,High,In Progress,Processing,"Power Apps,Power Automate,Dataverse,Monday.com,Github,Visual Studio Code,Claude Code",2026-03-01,2026-07-31

[PHASES]
Order,Name,Description,Status,Progress,Start Date,End Date
1,Discovery and Core Setup,Stakeholder interviews and initial data model for driver onboarding,Completed,100,2026-03-01,2026-03-15
2,New Entry Wizard,Six-step wizard covering setup, driver details, compliance, transfers, deductions, and review,Completed,100,2026-03-15,2026-04-05
3,ELP Testing and Compliance,English Language Proficiency test trigger and automated scoring with pass/fail routing,Completed,100,2026-03-25,2026-04-12
4,Document Generation Suite,Quick-generate PDFs and email drafts for start-up, recruiting, equipment, ports and rails, and orientation packets,Completed,100,2026-03-25,2026-04-18
5,Rider Permit Migration,Moved Rider Permit tooling out of Monday.com into DIX with live PDF generation and history,Completed,100,2026-04-10,2026-04-18
6,Active Users and Welcome Tour,Presence pill in the header and first-run walkthrough for new users,Completed,100,2026-04-15,2026-04-18
7,Production Release and Stabilization,First production release plus post-launch polish and deploy reliability work,In Progress,0,2026-04-18,2026-05-05
8,Hazmat and Homeland Test Submission,Scoring flows and UI badges for Hazmat and Homeland Security tests,Pending,0,2026-05-05,2026-05-15
9,Cancellations Module Activation,Re-enable the Cancellations screens currently hidden behind Coming Soon badges,Pending,0,2026-05-15,2026-05-30
10,Cancellations Return Tracking Migration,Pull the Monday.com Cancellations Return Tracking workflow into DIX so returns live alongside cancellation records,Pending,0,2026-05-30,2026-06-30
11,Inventory Management Integration,Connect DIX cancellation returns to the Inventory Management App so returned items move through inventory automatically,Pending,0,2026-06-30,2026-07-25
12,Sunset Monday.com Board,Parallel-run validation then retire the Monday.com board,Pending,0,2026-07-25,2026-07-31

[TASKS]
Phase,Title,Description,Status,Priority,Due Date
Discovery and Core Setup,Interview processing and recruiting leads,Capture the onboarding pain points to replace and the KPIs to preserve,Completed,High,2026-03-05
Discovery and Core Setup,Seed terminal config for all 50+ terminals,"Baseline agent data so deduction rates, contacts, and company info are live from day one",Completed,High,2026-03-12
New Entry Wizard,Ship wizard shell with progress bar,"Horizontal step indicator, scaled current step, green checkmarks on completed steps",Completed,High,2026-03-20
New Entry Wizard,Build progressive save between steps,Each Next click persists the record so nothing is lost mid-flow,Completed,High,2026-03-28
New Entry Wizard,Driver / vendor / unit form sections,"License, address, contract type, fuel card, vendor, and unit capture",Completed,High,2026-04-02
New Entry Wizard,Live Deductions and Cost Summary,Toggle deductions and see weekly / monthly / one-time totals update in real time,Completed,High,2026-04-05
ELP Testing and Compliance,Wire ELP toggle and request flow,Sending a test from the wizard drops a Forms link into the driver's inbox,Completed,High,2026-04-04
ELP Testing and Compliance,Automated scoring and pass / fail routing,"Driver pass emails recruiter; fail emails management with the result PDF attached",Completed,High,2026-04-12
ELP Testing and Compliance,Status badges in the UI,"Toggle locks to Sent / Passed / Failed once the driver has taken the test",Completed,Medium,2026-04-12
Document Generation Suite,Start-up packet PDFs,"Lease Agreement, Agent Confirmation, Fleet Commitment, Road Test, Welcome Letter",Completed,High,2026-04-08
Document Generation Suite,Recruiting and equipment docs,"Deductions Checklist, IRP Lease, Truck Box Forms",Completed,High,2026-04-12
Document Generation Suite,Ports and rails quick docs,"CN Registration, CP Registration, FastPass ID, SeaLink Entry",Completed,High,2026-04-16
Document Generation Suite,Add/Move email drafts via Front,One click creates the Front draft with all driver info pre-filled,Completed,High,2026-04-18
Rider Permit Migration,Auto-numbered PRO and rate ladder,Removes the old manual Monday.com entry and makes rate selection instant,Completed,High,2026-04-15
Rider Permit Migration,PDF generation and history view,"Two-page permit PDF, last 100 permits searchable with per-row re-download",Completed,High,2026-04-18
Active Users and Welcome Tour,Presence pill in the header,See who else is working in DIX right now with colored initials and a live count,Completed,Medium,2026-04-18
